Type                                  Module                      Label             Process      
vector<pat::PackedCandidate>          "lostTracks"                "eleTracks"       "MINIAOD"    
vector<pat::PackedGenParticle>        "packedGenParticles"        ""                "MINIAOD"    
vector<pat::Photon>                   "slimmedOOTPhotons"         ""                "MINIAOD"    
vector<pat::Photon>                   "slimmedPhotons"            ""                "MINIAOD"    
vector<pat::Tau>                      "slimmedTaus"               ""                "MINIAOD"    
vector<pat::Tau>                      "slimmedTausBoosted"        ""                "MINIAOD"    
vector<pat::TriggerObjectStandAlone>    "slimmedPatTrigger"         ""                "MINIAOD"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "MINIAOD"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "MINIAOD"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTEBEEClusters"   "MINIAOD"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTESClusters"   "MINIAOD"    
vector<reco::CaloJet>                 "slimmedCaloJets"           ""                "MINIAOD"    
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "MINIAOD"    
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "MINIAOD"    
vector<reco::DeDxHitInfo>             "isolatedTracks"            ""                "MINIAOD"    
vector<reco::GenJet>                  "slimmedGenJets"            ""                "MINIAOD"    
vector<reco::GenJet>                  "slimmedGenJetsAK8"         ""                "MINIAOD"    
vector<reco::GenJet>                  "slimmedGenJetsAK8SoftDropSubJets"   ""                "MINIAOD"    
vector<reco::GenParticle>             "prunedGenParticles"        ""                "MINIAOD"    
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "MINIAOD"    
vector<reco::GsfTrack>                "reducedEgamma"             "reducedGsfTracks"   "MINIAOD"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "MINIAOD"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedOOTPhotonCores"   "MINIAOD"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedOOTSuperClusters"   "MINIAOD"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "MINIAOD"    
vector<reco::TrackExtra>              "slimmedMuonTrackExtras"    ""                "MINIAOD"    
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "MINIAOD"    
vector<reco::VertexCompositePtrCandidate>    "slimmedKshortVertices"     ""                "MINIAOD"    
vector<reco::VertexCompositePtrCandidate>    "slimmedLambdaVertices"     ""                "MINIAOD"    
vector<reco::VertexCompositePtrCandidate>    "slimmedSecondaryVertices"   ""                "MINIAOD"    
vector<string>                        "slimmedPatTrigger"         "filterLabels"    "MINIAOD"    
unsigned int                          "bunchSpacingProducer"      ""                "MINIAOD"    
